Sex,Treapta,Profil,Clasa(L),Clasa(G),Age,GO OUT,Study time,Trip time,Location,Mom ed,Dad ed,School sup,Mom job,Dad job,Failiures,Health,Attendance,School extra,University,Weekly alcohol,Weekend alcohol,Parents,Internet,Relationship,Grade
masculin,Gimnaziu,,,5,11,4,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,4,7,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,"9,27"
masculin,Gimnaziu,,,6,12,5,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație primară (clasa 1-4),Da,altceva,altceva,0,4,3,Nu,Da,,,Trăiesc împreună,Da,Nu,"8,33"
feminin,Gimnaziu,,,7,13,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,5,0,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.87
feminin,Liceu,Uman,12,,18,1,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.71
masculin,Gimnaziu,,,9,15,5,2 - 5 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,1,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Da,8.25
feminin,Gimnaziu,,,9,15,4,2 - 5 ore,30 minute - 1 oră,Urban,educație gimnazială (clasa 5-9),educație gimnazială (clasa 5-9),Da,altceva,altceva,0,3,14,Nu,Da,,,Trăiesc împreună,Da,Da,8.14
feminin,Gimnaziu,,,6,12,4,mai puțin de 2 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,altceva,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.07
masculin,Gimnaziu,,,9,15,5,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,3+,5,6,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,8
masculin,Gimnaziu,,,9,16,4,mai mult de 15 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,2,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Da,"8,30"
feminin,Gimnaziu,,,9,15,2,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,antreprenor,antreprenor,0,1,2,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Da,9.39
